gem_id,gem_parent_id,source_language,target_language,source,target,references
wikilingua_crosslingual-train-2562466,wikilingua_crosslingual-train-2562466,fr,en,"Avec les lèvres entrouvertes, vous pourrez appliquer le crayon en respectant leur forme naturelle .",Part your lips slightly.,['Part your lips slightly.']
wikilingua_crosslingual-train-2562474,wikilingua_crosslingual-train-2562474,fr,en,"La laque pour cheveux et les écrans solaires peuvent être utilisés, car ils contiennent généralement de l'alcool. Vérifiez la liste des ingrédients du produit pour vous en assurer . Vous pouvez aussi utiliser du désinfectant pour les mains, du WD-40 ou du jus de citron.",You can also use rubbing alcohol or similar products.,['You can also use rubbing alcohol or similar products.']
wikilingua_crosslingual-train-2562548,wikilingua_crosslingual-train-2562548,fr,en,"Utilisez l'ordinateur sur lequel vous vous êtes connecté. Utilisez le même navigateur que lors de votre connexion. Par exemple, si vous vous êtes connecté à Amazon via Internet Explorer, il faudra vous déconnecter via Internet Explorer également. L'onglet se situe à droite sur la barre de menu en haut de la page. Au-dessus de l'onglet, vous devriez voir Bonjour, (votre nom ). Déconnexion du menu déroulant. C'est l'option qui se trouve tout en bas de la liste, sous la section Votre compte du menu déroulant .",Go to https://www.amazon.com on the computer you're signed in on. Hover your mouse over the “Accounts and Lists” tab in the menu bar. Click on “Not [your name]?,"[""Go to https://www.amazon.com on the computer you're signed in on. Hover your mouse over the “Accounts and Lists” tab in the menu bar. Click on “Not [your name]?""]"
wikilingua_crosslingual-train-2562570,wikilingua_crosslingual-train-2562570,fr,en,Il vaut mieux que vous le fassiez avec la main avec laquelle vous vous sentez le plus à l'aise. Tenez-le avec la charnière tournée vers votre index. Vous devez le poser entre votre pouce et votre index avec le couvercle qui dépasse légèrement de votre main pour qu'il puisse s'ouvrir sans aucun obstacle.,Hold your Zippo in your primary hand.,['Hold your Zippo in your primary hand.']
wikilingua_crosslingual-train-2562600,wikilingua_crosslingual-train-2562600,fr,en,"Trempez la boule dans les huiles et laissez-la absorber le mélange. Assurez-vous qu’elle est imbibée d’huile pour traiter efficacement les maux de dents. Utilisez une grosse boule de coton pour appliquer plus d’huile sur la dent et les gencives. Réglez un chronomètre sur vingt minutes, puis essayez de vous détendre pendant que les huiles agissent. Ensuite, retirez la boule de coton et rincez-vous la bouche avec la solution d’eau salée. Terminez en vous rinçant la bouche avec de l’eau tiède.",Soak a cotton ball in the oil mixture. Leave the compress on your tooth for 20 minutes.,['Soak a cotton ball in the oil mixture. Leave the compress on your tooth for 20 minutes.']
wikilingua_crosslingual-train-2562658,wikilingua_crosslingual-train-2562658,fr,en,"Elle donnera une jolie touche asymétrique à votre coiffure. En commençant à votre front, faites-vous une raie à gauche ou à droite. À mesure que vous approchez de l’arrière de votre tête, rapprochez-vous du milieu. À partir du sommet de votre tête, faites une raie centrale qui descend jusqu’à votre nuque.","Make a side part for a cool, off-center style.","['Make a side part for a cool, off-center style.']"
wikilingua_crosslingual-train-2562662,wikilingua_crosslingual-train-2562662,fr,en,"Elle ne fonctionnera pas bien si vous ne roulez pas. La meilleure position pour un diagnostic est celle qui donne de l'air frais (pas celle qui fait circuler l'air) avec l'air qui sort des évents centraux lorsque la climatisation est allumée.  Commencez en mettant le ventilateur à pleine puissance. Si votre voiture dispose d'une option « Max AC », sélectionnez-la.",Turn the air conditioning on while the car is running.,['Turn the air conditioning on while the car is running.']
wikilingua_crosslingual-train-2562686,wikilingua_crosslingual-train-2562686,fr,en,"Les membres du groupe devront travailler ensemble et s'assurer que chacun est en sécurité et que les ressources sont équitablement partagées. Si quelqu'un venait à mourir, enterrez-le et organisez une cérémonie. Vous lui direz ainsi au revoir avec respect et empêcherez la propagation de maladies.","Act on all of the approved ideas together as a group, if you have one. Bury dead companions.","['Act on all of the approved ideas together as a group, if you have one. Bury dead companions.']"
wikilingua_crosslingual-train-2562872,wikilingua_crosslingual-train-2562872,fr,en,"Juste avant de mettre le volatile dans sa cage avant la présentation, essuyez-le doucement dans le sens des plumes avec un tissu en soie, par exemple une écharpe en soie. Cela permet d’aligner et de lisser les plumes tout en leur donnant plus d’éclat. Plus la poule a l’air en bonne santé, heureuse et sure d’elle, plus les juges vont pencher en sa faveur. Assurez-vous de sa santé, de son régime alimentaire et de son comportement avec les humains pendant toutes les préparations d’avant compétition.",Do a last minute wipe before the show.,['Do a last minute wipe before the show.']
wikilingua_crosslingual-train-2562968,wikilingua_crosslingual-train-2562968,fr,en,"Si vous la trouvez trop grande ou trop petite, vous pouvez apporter les modifications nécessaires à la longueur ou la taille. Il est facile de réduire la taille d’une jupe, mais plus difficile de l’agrandir. Si elle est trop serrée, défaites les coutures à l’aide d’un découseur et refaites-les plus près des bords du tissu .",Flip your skirt right-side up.,['Flip your skirt right-side up.']
wikilingua_crosslingual-train-2563084,wikilingua_crosslingual-train-2563084,fr,en,"Désossez la viande si cela n'a pas déjà été fait. Vous pouvez aussi fabriquer des saucisses italiennes à partir de bœuf et de porc. Remplacez 1 kg d'épaule de porc par du bœuf haché pour adapter la recette. Demandez si les boyaux doivent être mis à tremper à l'avance ou non. Si les boyaux à saucisse doivent être mis à tremper, placez-les dans un bol de jus d'orange et de sel pendant une heure. Ils doivent être encore humides avant leur utilisation.",Buy 5 lbs. Buy sausage casings.,['Buy 5 lbs. Buy sausage casings.']
wikilingua_crosslingual-train-2563318,wikilingua_crosslingual-train-2563318,fr,en,"Vous pouvez découper votre coriandre de façon plus ou moins fine. Comme cette plante est tendre, il n'est pas obligatoire de la couper finement. Cependant, plus vous incorporerez la coriandre tard dans le processus de cuisson, plus elle doit être hachée menu. Dans le cas où vous l'employiez comme décoration, cela n'a pas vraiment d'importance.",Decide how finely chopped you want your cilantro.,['Decide how finely chopped you want your cilantro.']
wikilingua_crosslingual-train-2563408,wikilingua_crosslingual-train-2563408,fr,en,Il est impératif que la solution puisse infiltrer le cuir pour permettre d'éliminer toutes les saletés ou taches qui s'y sont intégrées .,Let the solution sit for five minutes.,['Let the solution sit for five minutes.']
wikilingua_crosslingual-train-2563432,wikilingua_crosslingual-train-2563432,fr,en,"Vous ne devez pas continuer à limer lorsque vous arrivez à votre ongle naturel, car cela pourrait l’abimer. Voici les signes montrant que vous arrivez à la surface de vos ongles naturels.  Il y a beaucoup moins de poussière lors du limage. Les stries naturelles de l’ongle deviennent visibles.",Look for signs that you are close to the natural nail.,['Look for signs that you are close to the natural nail.']
wikilingua_crosslingual-train-2563434,wikilingua_crosslingual-train-2563434,fr,en,"Les chapeaux cloche se présentent avec ou sans bordure. Nommé aussi « un gavroche » ces chapeaux très tendance sont superbes avec une tenue décontractée ou professionnelle. Les bordures de ces chapeaux se terminent en rubans qui flottent au vent et sont parfaits aux heures les plus ensoleillées de la journée. Si vous voulez porter ce type de chapeau en hiver, choisissez sa version en feutre.",Wear a cloche hat. Try out a newsboy hat. Put on a giant sun hat.,['Wear a cloche hat. Try out a newsboy hat. Put on a giant sun hat.']
wikilingua_crosslingual-train-2563458,wikilingua_crosslingual-train-2563458,fr,en,"Si besoin, entrez votre nom d’utilisateur et votre mot de passe et cliquez sur Connexion.  Cette touche se trouve dans le coin inférieur droit de la fenêtre. Une fois votre publication en ligne, elle sera visible de tous, qu’ils soient ou non vos amis sur Facebook.",Open Facebook in your browser. Click What's on your mind?. Click Friends. Click Public.,"[""Open Facebook in your browser. Click What's on your mind?. Click Friends. Click Public.""]"
wikilingua_crosslingual-train-2563746,wikilingua_crosslingual-train-2563746,fr,en,Servez tout de suite. Vous pouvez ajouter de la crème Chantilly dans les verres ou un peu de sirop de caramel ou de chocolat sur le dessus .,Pour into two tall glasses and serve immediately.,['Pour into two tall glasses and serve immediately.']
wikilingua_crosslingual-train-2563750,wikilingua_crosslingual-train-2563750,fr,en,"Les trappes peuvent :  éviter les chutes, interdire l'accès de la foule à une zone, arrêter l'eau, la neige, la pluie ou la lave et les empêcher d'envahir une zone, servir d'ouverture pour un comptoir de bar, une trappe laisse passer la lumière et ne bloque pas les redstones. C'est la seule façon de poser une trappe. Ensuite, vous pourrez continuer à construire tout autour avec d'autres blocs Faites un clic droit dessus. Il va se replier en direction du bloc auquel elle est attachée.","Use trapdoors in your structures. To place a trapdoor, put on the side of a solid block. Open a trapdoor.","['Use trapdoors in your structures. To place a trapdoor, put on the side of a solid block. Open a trapdoor.']"
wikilingua_crosslingual-train-2563818,wikilingua_crosslingual-train-2563818,fr,en,"Étendez-la sur une surface plane comme une table, un siège ou un lit. Lissez son dos pour qu'il ne soit pas froissé ou plié .",Find a flat surface and lay out your dress shirt.,['Find a flat surface and lay out your dress shirt.']
wikilingua_crosslingual-train-2563834,wikilingua_crosslingual-train-2563834,fr,en,"Une fois dans la salle de musique, regardez le tableau noir. Vous découvrirez un morceau de papier blanc tâché de sang collé sur le tableau. Sur le papier, vous pourrez lire l'inscription un conte d'oiseaux sans voix (a tale of birds without a voice). Vous pourrez vous rendre compte que vous ne pouvez jouer que les notes d'une octave et que lorsque vous essayez de jouer les autres notes, certaines ne produisent pas de sonorité.",Look at the blackboard inside the the music room. Examine the piece of paper. Head over to the piano and examine it.,['Look at the blackboard inside the the music room. Examine the piece of paper. Head over to the piano and examine it.']
wikilingua_crosslingual-train-2563916,wikilingua_crosslingual-train-2563916,fr,en,"Si vous mettez le mélange au réfrigérateur, les saveurs peuvent vraiment se mélanger. Les jus et l’acide du citron pénètreront dans le miel pour donner un excellent gout lorsque vous ajouterez de l’eau au mélange .",Chill the jar in the fridge for at least 12 hours.,['Chill the jar in the fridge for at least 12 hours.']
wikilingua_crosslingual-train-2564058,wikilingua_crosslingual-train-2564058,fr,en,"S'il y a toujours un morceau de vis que vous n'avez pas pu couper, utilisez un écrou de la même taille que la vis pour le maintenir en place et pour éviter les accrocs. Faites simplement usage d'une clé pour bien l'ajuster . Vous pouvez également utiliser des bouchons à vis, également appelés protecteurs de vis. Il s'agit des capuchons flexibles qui se placent facilement sur les extrémités exposées des vis.",Add a nut for longer screws (optional).,['Add a nut for longer screws (optional).']
wikilingua_crosslingual-train-2564060,wikilingua_crosslingual-train-2564060,fr,en,"Quelle que soit la méthode utilisée pour onduler vos cheveux, les laver est un préalable nécessaire. Des cheveux propres sont plus faciles à travailler et le rendu est meilleur.  Utilisez votre shampooing habituel. Si vous utilisez un après-shampooing, évitez de l'appliquer sur votre cuir chevelu et insistez sur les pointes. Vos cheveux seront plus légers et plus faciles à onduler.",Wash your hair.,['Wash your hair.']
wikilingua_crosslingual-train-2564066,wikilingua_crosslingual-train-2564066,fr,en,"La plupart de ces magasins vendent de l'acétone. Vous pourriez également vous en procurer dans certaines pharmacies. Une fois que vous avez le produit, versez-en quelques gouttes dans un récipient . L'acétone est un produit acide et il vous faudra donc utiliser un récipient qu'il n'abimera pas. Évitez les récipients en plastique et préférez un récipient en verre. Un verre à shot fera parfaitement l'affaire. Veillez simplement à le nettoyer soigneusement avant de boire à nouveau dedans .",Get acetone from a beauty supply shop.,['Get acetone from a beauty supply shop.']
wikilingua_crosslingual-train-2564070,wikilingua_crosslingual-train-2564070,fr,en,"Restez dans la même position que pour le dos rond. Si vos poignets commencent à faiblir, détendez-vous pendant quelques minutes et faites des cercles doucement avec vos mains. En expirant, levez la main droite et le genou gauche du sol, en les étirant dans la direction opposée. Ensuite expirez, répétez pour l’autre côté. Répétez six fois au total – trois fois de chaque côté. Ne les laissez pas s’affaisser afin de garder le corps bien aligné.",Prepare. Inhale to prepare. Inhale to return to all fours again. Repeat. Pay particular attention to the supporting arm and leg.,['Prepare. Inhale to prepare. Inhale to return to all fours again. Repeat. Pay particular attention to the supporting arm and leg.']
wikilingua_crosslingual-train-2564318,wikilingua_crosslingual-train-2564318,fr,en,"Prenons comme exemple la série [2, 4, 5, 5, 4, 5]. Si elle est classée, c'est bien aussi ! Ici, c'est le 5 qui apparait le plus (3 fois) : c'est donc le mode de la série.Sachez aussi qu'il est possible qu'il y ait plusieurs modes dans une même série. S'il y a deux modes, on dit que la série est « bimodale » et s'il y a plus de 2 modes, la série est dite « multimodale ».",Write down all of the numbers in the set. Find the number that occurs the most.,['Write down all of the numbers in the set. Find the number that occurs the most.']
wikilingua_crosslingual-train-2564506,wikilingua_crosslingual-train-2564506,fr,en,"Demandez à la future propriétaire du tutu de se tenir debout, immobile, et le dos bien droit .  Prenez un ruban de couturière et mesurez la longueur qui part de la taille jusqu'à l'endroit de la jambe où le tutu va descendre. La plupart des tutus mesurent entre 28 et 58 cm de longueur en partant de la taille. Cela vous permettra de vérifier qu'il tient bien au niveau de la taille. Si nécessaire, procédez à des rectifications.",Take waist measurements. Have the person try on the elastic.,['Take waist measurements. Have the person try on the elastic.']
wikilingua_crosslingual-train-2564576,wikilingua_crosslingual-train-2564576,fr,en,"Elles apporteront des notes aromatiques au plat. Un mélange de sauge, de thym et de romarin est délicieux. Vous pouvez aussi essayer un mélange de ciboulette, d’origan et d’estragon. Hachez les herbes et ajoutez-les à la purée en même temps que le beurre et la crème . Même si vous n’avez pas beaucoup d’herbes fraiches, il peut suffire d’ajouter un peu de persil ou de ciboulette à la purée pour lui apporter une saveur délicieuse.",Chop up fresh herbs to add an aromatic flavor to your mashed potatoes.,['Chop up fresh herbs to add an aromatic flavor to your mashed potatoes.']
wikilingua_crosslingual-train-2564644,wikilingua_crosslingual-train-2564644,fr,en,"Il est un peu différent des précédents. Ces derniers servaient à vous adresser de manière directe à votre sœur, alors que celui-ci est utilisé pour parler de votre sœur ainée à quelqu’un d’autre. Vous pouvez remarquer qu’on retrouve la syllabe « ne », comme dans tous les mots désignant une grande sœur.",Learn the word for older sister Ane. Pronunciation is the same as above.,['Learn the word for older sister Ane. Pronunciation is the same as above.']
wikilingua_crosslingual-train-2564732,wikilingua_crosslingual-train-2564732,fr,en,"C'est l'option en haut à gauche de la barre d'outils de votre navigateur. Il est troisième à partir du bas du menu déroulant. C'est la deuxième option de la droite en haut de la nouvelle page.  C'est le bouton sur la partie inférieure droite de l'écran. Cela permettra de vérifier si Firefox est votre navigateur par défaut. Si Firefox n'est pas votre navigateur par défaut, il vous sera demandé si vous voulez changer le navigateur par défaut de Firefox. Après cette étape, vous aurez terminé.","Open your Firefox browser. Select ""Firefox. Select ""Options. Select the Advanced tab. Check the box next to ""Always check to see if Firefox is the default browser on startup. Select ""Check Now. Select ""Yes. Click ""OK.","['Open your Firefox browser. Select ""Firefox. Select ""Options. Select the Advanced tab. Check the box next to ""Always check to see if Firefox is the default browser on startup. Select ""Check Now. Select ""Yes. Click ""OK.']"
wikilingua_crosslingual-train-2564790,wikilingua_crosslingual-train-2564790,fr,en,"Pour emballer un bouquet délicat, vous pourriez utiliser du papier kraft brun ou un papier cadeau épais. Si vos fleurs ont des tiges et des fleurs épaisses, vous pourrez utiliser un papier plus délicat, comme du papier de soie ou du papier journal. Choisissez une couleur qui ira bien avec celle des fleurs et qui ne prendra pas le dessus. Par exemple, si vous emballez des fleurs orange, vous pourriez utiliser du papier de soie rouge ou jaune, qui fera ressortir l’orange.",Select your paper.,['Select your paper.']
wikilingua_crosslingual-train-2564798,wikilingua_crosslingual-train-2564798,fr,en,"Focalisez-vous sur cet objet en essayant d'ignorer tout ce qui se trouve derrière. Ce n'est vraiment qu'une autre version de la technique avec le bout du nez, qui exagère le processus et le rend un peu plus facile. Une fois que le crayon se trouve à 4 cm de votre visage, vous devriez loucher. Prenez un petit instant pour continuer à vous focaliser sur l'objet tout en louchant dessus.",Hold out a pen at eye level at arm's length. Stop when the object is close to your face.,"[""Hold out a pen at eye level at arm's length. Stop when the object is close to your face.""]"
wikilingua_crosslingual-train-2564828,wikilingua_crosslingual-train-2564828,fr,en,"Si vous voyez de la peau morte ou des cuticules affectées par le colorant sur vos mains, retirez doucement la peau avec un coupe-cuticule pour ne pas avoir à appliquer du dissolvant agressif sur votre peau. Si malgré toutes ces astuces, vos ongles restent tachés, la solution qu'il vous reste est de les couvrir avec du vernis à ongles. N'hésitez pas à faire preuve d'imagination pour masquer la tache de façon créative !",Trim your cuticles if they are dyed. Paint your nails if you just can't remove the dye.,"[""Trim your cuticles if they are dyed. Paint your nails if you just can't remove the dye.""]"
wikilingua_crosslingual-train-2564874,wikilingua_crosslingual-train-2564874,fr,en,"Pour cette méthode, le mieux est d'utiliser une feuille rectangulaire. Si vous allez offrir la boite à quelqu'un, utilisez du papier coloré et/ou imprimé. Si vous vous entrainez simplement, utilisez du papier brouillon.",Choose your paper.,['Choose your paper.']
wikilingua_crosslingual-train-2565128,wikilingua_crosslingual-train-2565128,fr,en,C'est l'outil idéal pour nettoyer votre écran tactile. Certains appareils incluront même un chiffon en microfibres et vous pouvez également utiliser celui de vos lunettes de soleil.  Le prix d'un chiffon peut varier. Les chiffons recommandés par une marque pour ses produits peuvent être considérablement plus chers simplement du fait de cette recommandation. Cherchez donc un substitut qui soit bon marché tout en étant aussi efficace.,Choose a microfiber cloth.,['Choose a microfiber cloth.']
wikilingua_crosslingual-train-2565154,wikilingua_crosslingual-train-2565154,fr,en,"Placez vos croutons au four, 30 minutes avant le service. Ils auront besoin d'un peu de temps pour refroidir.",Preheat the oven to 450°F (232°C).,['Preheat the oven to 450°F (232°C).']
wikilingua_crosslingual-train-2565226,wikilingua_crosslingual-train-2565226,fr,en,"Elle aura ainsi le temps de refroidir et irritera moins votre gorge. Cela va aussi altérer le gout du tabac, ce qui n'est pas conseillé d'après certains. C'est vous qui déciderez avec l'expérience.",Hold the smoke in your mouth for a moment.,['Hold the smoke in your mouth for a moment.']
wikilingua_crosslingual-train-2565316,wikilingua_crosslingual-train-2565316,fr,en,"Au lieu de rassembler et d'attacher vos cheveux au niveau de la nuque, faites une raie, travaillez-les du côté opposé de cette raie et sous l'oreille. Divisez vos cheveux en deux sections égales et nouez-les deux fois. Mettez un élastique discret sous les nœuds.",Begin with bed-head.,['Begin with bed-head.']
wikilingua_crosslingual-train-2565320,wikilingua_crosslingual-train-2565320,fr,en,"Le mascara sèche rapidement, mais il est important de garder les yeux ouverts pour que les cils restent bien séparés et ouverts.",Try not to blink as the mascara dries. Finished.,['Try not to blink as the mascara dries. Finished.']
wikilingua_crosslingual-train-2565388,wikilingua_crosslingual-train-2565388,fr,en,"Ils sont disponibles dans les pharmacies. Recherchez des tampons conçus pour traiter l'acné, car ils contiennent des acides qui permettent de faire disparaitre les taches de peinture . Tenez cela avec vos doigts et appliquez une pression tout en le frottant sur la surface tachée.",Find alcohol-based cleansing pads at your local drug store. Scrub the paint stain on the floor using one of the cleansing pads.,['Find alcohol-based cleansing pads at your local drug store. Scrub the paint stain on the floor using one of the cleansing pads.']
